space,day,time,poi,tid,label
21.458482 -158.010359,Tuesday,251,424450,39422,1302
21.316287 -157.870337,Tuesday,1122,395698,39422,1302
21.316287 -157.870337,Wednesday,40,395698,39422,1302
21.316287 -157.870337,Wednesday,1096,395698,39422,1302
21.316287 -157.870337,Wednesday,1098,395698,39422,1302
21.316287 -157.870337,Thursday,1056,395698,39422,1302
21.316287 -157.870337,Friday,1042,395698,39422,1302
21.457743 -157.977861,Saturday,280,277107,39422,1302
21.458482 -158.010359,Saturday,407,424450,39422,1302
21.427725 -157.99778,Saturday,1298,14272,39422,1302
21.427725 -157.99778,Saturday,1311,14272,39422,1302
21.458482 -158.010359,Saturday,1360,424450,39422,1302
21.454093 -158.006346,Sunday,265,642861,39422,1302
21.458482 -158.010359,Sunday,442,424450,39422,1302
21.302067 -157.831215,Sunday,1188,364262,39422,1302
21.458482 -158.010359,Sunday,1345,424450,39422,1302
21.316287 -157.870337,Monday,1092,395698,39422,1302
21.458482 -158.010359,Tuesday,410,424450,39428,1302
21.458482 -158.010359,Wednesday,365,424450,39428,1302
21.427725 -157.99778,Wednesday,1005,14272,39428,1302
21.316287 -157.870337,Wednesday,1045,395698,39428,1302
21.458482 -158.010359,Thursday,392,424450,39428,1302
21.316287 -157.870337,Thursday,1136,395698,39428,1302
21.458482 -158.010359,Saturday,409,424450,39428,1302
21.427725 -157.99778,Saturday,1324,14272,39428,1302
21.427725 -157.99778,Saturday,1365,14272,39428,1302
21.458482 -158.010359,Sunday,423,424450,39428,1302
21.302067 -157.831215,Sunday,1187,364262,39428,1302
21.313319 -157.870424,Tuesday,1044,28764,39430,1302
21.316287 -157.870337,Tuesday,1197,395698,39430,1302
21.458482 -158.010359,Wednesday,262,424450,39430,1302
21.44176 -158.022368,Wednesday,377,77552,39430,1302
21.316287 -157.870337,Wednesday,1370,395698,39430,1302
21.458482 -158.010359,Friday,500,424450,39430,1302
21.457743 -157.977861,Friday,1290,277107,39430,1302
21.306721 -157.865573,Friday,1357,42606,39430,1302
21.319186 -157.876523,Saturday,15,756391,39430,1302
21.302067 -157.831215,Sunday,1194,364262,39430,1302
21.458482 -158.010359,Monday,95,424450,39430,1302
21.427725 -157.99778,Monday,211,14272,39430,1302
21.458482 -158.010359,Monday,254,424450,39430,1302
21.302067 -157.831215,Sunday,1206,364262,39432,1302
21.458482 -158.010359,Monday,262,424450,39432,1302
21.318448 -157.870576,Monday,1028,673975,39432,1302
21.293131 -157.839328,Monday,1404,466851,39432,1302
21.313319 -157.870424,Tuesday,1071,28764,39432,1302
21.316287 -157.870337,Tuesday,1078,395698,39432,1302
21.291549 -157.840315,Tuesday,1429,681368,39432,1302
21.316287 -157.870337,Wednesday,33,395698,39432,1302
21.458482 -158.010359,Wednesday,269,424450,39432,1302
21.316287 -157.870337,Wednesday,1074,395698,39432,1302
